ticker,status
AC.PA,success
ACA.PA,success
ADP.PA,success
AF.PA,success
AI.PA,success
AIR.PA,success
AKE.PA,success
ALO.PA,success
AMUN.PA,success
BEN.PA,success
BN.PA,success
BNP.PA,success
BVI.PA,success
CA.PA,success
CAP.PA,success
COFA.PA,success
CS.PA,success
DEC.PA,success
DG.PA,success
DSY.PA,success
EDEN.PA,success
EDF.PA,empty
EL.PA,success
ELIS.PA,success
EN.PA,success
ENGI.PA,success
ERF.PA,success
ESE.PA,success
ETDD.PA,success
FDJ.PA,empty
FR.PA,success
GET.PA,success
GLE.PA,success
GTT.PA,success
HO.PA,success
IPN.PA,success
KER.PA,success
LR.PA,success
MC.PA,success
ML.PA,success
NEX.PA,success
NK.PA,success
OR.PA,success
ORA.PA,success
PAASI.PA,success
PAEEM.PA,success
PALAT.PA,success
PANX.PA,success
PINR.PA,success
PLEM.PA,success
PUB.PA,success
PUST.PA,success
RCO.PA,success
RI.PA,success
RMS.PA,success
RNO.PA,success
RUI.PA,success
RXL.PA,success
SAN.PA,success
SCR.PA,success
SESG.PA,success
SGO.PA,success
SPIE.PA,success
STMPA.PA,success
SU.PA,success
SW.PA,success
TEP.PA,success
TFI.PA,success
TTE.PA,success
UBI.PA,success
URW.AS,empty
VIE.PA,success
VIV.PA,success
VK.PA,success
WLN.PA,success
^STOXX,success
