date,ticker,bucket,quantity,avg_price,last_price,market_value,current_weight_total,current_weight_bucket,unrealized_pnl_pct,days_held,entry_date,entry_signal_type,sector,ttf_flag
2026-03-09,ENGI.PA,core,191,26.290000915527344,26.290000915527344,5021.390174865723,0.1004278005391567,0.2005523689117777,0.0,0,2026-03-09,seed_from_current_strategy,Utilities,True
2026-03-09,GLE.PA,core,76,65.58000183105469,65.58000183105469,4984.080139160156,0.09968159984702514,0.1990622206093438,0.0,0,2026-03-09,seed_from_current_strategy,Financials,True
2026-03-09,ORA.PA,core,210,17.125,17.125,3596.25,0.07192499788140845,0.14363282509076625,0.0,0,2026-03-09,seed_from_current_strategy,Communication,True
2026-03-09,EN.PA,core,69,48.130001068115234,48.130001068115234,3320.970073699951,0.06641939951757798,0.1326382519923293,0.0,0,2026-03-09,seed_from_current_strategy,Industrials,True
2026-03-09,RUI.PA,core,65,34.84000015258789,34.84000015258789,2264.600009918213,0.04529199886426278,0.09044724285717906,0.0,0,2026-03-09,seed_from_current_strategy,Energy,True
2026-03-09,GTT.PA,core,10,195.8999938964844,195.8999938964844,1958.999938964844,0.03917999762522786,0.07824169498398588,0.0,0,2026-03-09,seed_from_current_strategy,Energy,True
2026-03-09,TTE.PA,core,28,68.88999938964844,68.88999938964844,1928.9199829101562,0.038578398521854546,0.07704031324836101,0.0,0,2026-03-09,seed_from_current_strategy,Energy,True
2026-03-09,BNP.PA,core,23,85.33000183105469,85.33000183105469,1962.5900421142578,0.039251799686101166,0.07838508230625701,0.0,0,2026-03-09,seed_from_current_strategy,Financials,True
2026-03-09,PAEEM.PA,monetary,143,30.374000549316406,30.374000549316406,4343.482078552246,0.0868696390122505,0.2901106867822857,0.0,0,2026-03-09,seed_from_current_strategy,ETF,False
2026-03-09,ETDD.PA,monetary,292,18.354000091552734,18.354000091552734,5359.368026733398,0.10718735737740365,0.3579639355788233,0.0,0,2026-03-09,seed_from_current_strategy,Unknown,False
2026-03-09,ESE.PA,monetary,180,29.27199935913086,29.27199935913086,5268.959884643555,0.10537919458886723,0.35192537763889103,0.0,0,2026-03-09,seed_from_current_strategy,Unknown,False
2026-03-09,PALAT.PA,opportunistic,188,26.613000869750977,26.613000869750977,5003.244163513184,0.10006488032279595,0.5008718130844796,0.0,0,2026-03-09,seed_from_current_strategy,ETF,False
2026-03-09,PANX.PA,opportunistic,77,64.7509994506836,64.7509994506836,4985.826957702637,0.09971653621684567,0.49912818691552036,0.0,0,2026-03-09,seed_from_current_strategy,ETF,False
